per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201910;AGENT - 018;2937.55;3;1;15.66666667;2.081665999;2533.876578;0;0;0;0;0;692.84;1200.034082;5496.246667;3722.438269;1;1;0;0;0;0;0;0.929060557;1;1550.773889;337.8051646;0;0;0;0;115.1670164;0;0;0;0
201910;AGENT - 027;1272.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201910;AGENT - 028;1012;1;0;7;0;0;0;0;0;0;0;1238.44;0;3009.44;0;1;1;0;0;0;0;0;0.588481578;0.588481578;1771;0;0;0;0;0;0;0;0;0;0
201910;AGENT - 029;1870;2.666666667;2.081665999;6;6.244997998;1946.47168;0;0;0;0;0;32.26666667;55.88750606;2254.266667;2314.004022;0.877102276;1;0.114979432;0;0;0;0;0.993253603;1;572.7333333;294.1782;0;0;0;0;48.28825858;0;0;0;0
201911;AGENT - 001;3190;5.333333333;2.516611478;16.33333333;9.504384953;2071.420044;0;0;0;0;0;2606.266667;2345.815273;6599.266667;4270.231925;1;1;0;0;0;0;0;0.694693861;0.997177799;744.3944444;67.63492756;0;0;0;0;64.45759063;0;0;0;0
201911;AGENT - 002;6424;5;0;23.33333333;2.886751346;698.5938257;0;0;0;0;0;73.33333333;127.0170592;6017;770;1;1;0;0;0;0;0;0.988833054;1;1188.733333;139.7187651;0;0;0;0;1.714730299;0;0;0;0
201911;AGENT - 004;3564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201911;AGENT - 006;4367;2.666666667;1.527525232;10.66666667;3.214550254;877.7283179;0;0;0;0;0;3747.7;275.828153;6519.7;1142.760242;1;1;0;0;0;0;0;0.417323993;0.459191231;1230.472222;500.265182;0;0;0;0;5.095984516;0;0;0;0
201911;AGENT - 010;1056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201911;AGENT - 012;0;1.666666667;1.527525232;6.333333333;9.291573243;2365.85256;0;0;0;0;0;2121.533333;3523.282199;3753.2;5883.208064;0.666666667;1;0.577350269;0;0;0;0;0.390021772;0.757575758;574.4444444;769.1993192;0;0;0;0;153.4748419;0;0;0;0
